interview__key,sdd_hhid,plot_id,plotname,hh_b1b01,hh_b1b02,hh_b1b03,hh_b1b04,hh_b1b05,hh_b1b06,hh_b1b07,hh_b1b08,hh_b1b09,hh_b1b10,hh_b1b11,hh_b1b12,hh_b1b13,hh_b1b16,hh_b1b17,hh_b1b18,hh_b1b19,hh_b1b20,hh_b1b21,hh_b1b22
89-06-03-18,0016-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,GIVEN AWAY,,0,**CONFIDENTIAL**,,,,,,
89-16-16-87,0585-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
89-16-16-87,0585-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY GOVERNMENT,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
89-16-16-87,0585-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,ALLOCATED BY GOVERNMENT,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
89-23-01-64,0574-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
89-23-01-64,0574-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,,,,,**CONFIDENTIAL**,,,,,,
89-30-25-72,0163-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
89-47-56-17,0001-001-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
89-47-56-17,0001-001-003,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,FREEHOLD,RESIDENTIAL,NO,
89-49-51-98,0813-006-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,"RENTED IN, LONG-TERM.",LEASEHOLD,RESIDENTIAL,NO,
89-59-90-58,0436-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
